"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"691",3,2016-07-29,"18:50",6,1,1,"Daylight",1,9,2,3,2,2
"692",1,2016-07-29,"20:18",3,1,1,"Daylight",1,9,2,3,2,20
"693",1,2016-07-29,"20:18",3,1,1,"Daylight",1,9,2,3,1,17
"694",1,2016-07-30,"05:22",3,1,1,"Daylight",1,9,3,2,2,20
"695",2,2016-08-05,"14:50",3,1,1,"Daylight",1,9,1,3,2,20
"696",2,2016-08-05,"14:50",3,1,1,"Daylight",1,9,2,3,2,27
"697",2,2016-08-05,"17:30",3,1,1,"Daylight",1,5,1,3,1,46
"698",1,2016-08-07,"00:57",6,1,4,"Dark",1,9,1,2,1,34
"699",1,2016-08-07,"00:57",6,1,4,"Dark",1,9,2,2,1,20
"700",1,2016-08-07,"00:57",6,1,4,"Dark",1,9,2,2,1,24
"701",1,2016-08-07,"17:32",6,1,1,"Daylight",1,1,1,2,1,14
"702",2,2016-08-09,"18:25",3,1,1,"Daylight",1,9,1,3,1,20
"703",2,2016-08-09,"18:25",3,1,1,"Daylight",1,9,2,3,1,14
"704",1,2016-08-10,"01:20",3,2,4,"Dark",2,5,1,1,1,21
"705",2,2016-08-11,"17:55",3,1,1,"Daylight",1,9,1,3,2,37
"706",2,2016-08-11,"18:15",6,1,1,"Daylight",1,22,1,3,1,50
"707",1,2016-08-12,"16:00",6,1,1,"Daylight",1,2,3,3,1,64
"708",1,2016-08-13,"00:45",3,2,4,"Dark",2,8,3,2,1,38
"709",2,2016-08-14,"16:55",3,1,1,"Daylight",1,1,1,2,1,51
"710",2,2016-08-15,"21:10",4,1,4,"Dark",1,5,1,3,2,35
"711",2,2016-08-16,"17:20",4,1,1,"Daylight",1,11,2,3,1,13
"712",2,2016-08-16,"17:20",4,1,1,"Daylight",1,11,2,3,2,34
"713",2,2016-08-16,"17:20",4,1,1,"Daylight",1,11,2,3,2,17
"714",2,2016-08-16,"17:20",4,1,1,"Daylight",1,11,2,3,1,60
"715",2,2016-08-17,"11:35",6,1,1,"Daylight",1,11,3,3,1,48
"716",2,2016-08-18,"07:35",4,1,1,"Daylight",1,3,1,3,1,51
"717",1,2016-08-18,"19:32",3,1,1,"Daylight",1,19,1,3,1,32
"718",2,2016-08-19,"11:20",3,2,1,"Daylight",2,9,1,3,2,27
"719",4,2016-08-19,"19:04",1,1,1,"Daylight",1,9,1,3,1,23
"720",2,2016-08-19,"23:14",3,2,4,"Dark",1,9,1,3,1,20
"721",2,2016-08-19,"23:14",3,2,4,"Dark",1,9,2,3,2,18
"722",3,2016-08-21,"18:15",6,1,1,"Daylight",1,2,1,3,1,12
"723",3,2016-08-21,"18:15",6,1,1,"Daylight",1,2,1,3,1,13
"724",2,2016-08-21,"22:50",6,1,4,"Dark",9,9,1,3,1,34
"725",3,2016-08-23,"20:54",3,1,4,"Dark",1,9,1,2,1,26
"726",3,2016-08-23,"20:54",3,1,4,"Dark",1,9,2,2,1,25
"727",3,2016-08-23,"20:54",3,1,4,"Dark",1,9,1,2,2,54
"728",2,2016-08-23,"16:20",3,1,1,"Daylight",1,9,1,3,1,40
"729",2,2016-08-24,"22:20",3,1,4,"Dark",1,9,1,3,1,46
"730",1,2016-08-25,"17:01",6,2,1,"Daylight",2,19,3,3,2,50
"731",2,2016-08-26,"18:35",6,1,1,"Daylight",1,9,1,3,2,36
"732",2,2016-08-26,"18:35",6,1,1,"Daylight",1,9,2,3,2,19
"733",2,2016-08-26,"18:35",6,1,1,"Daylight",1,9,2,3,1,15
"734",3,2016-08-28,"18:30",3,1,1,"Daylight",1,9,1,2,1,49
"735",3,2016-08-28,"18:30",3,1,1,"Daylight",1,9,2,2,2,28
"736",3,2016-08-28,"18:30",3,1,1,"Daylight",1,9,1,3,2,58
"737",2,2016-08-29,"19:10",6,1,1,"Daylight",1,9,1,3,1,45
"738",2,2016-08-29,"19:10",6,1,1,"Daylight",1,9,2,3,1,30
"739",2,2016-08-29,"19:10",6,1,1,"Daylight",1,9,2,3,1,24
"740",1,2016-08-30,"07:00",6,1,1,"Daylight",1,9,3,3,1,32
"741",1,2016-08-29,"13:30",6,1,1,"Daylight",1,17,1,3,1,28
"742",2,2016-09-03,"15:28",4,2,1,"Daylight",2,9,1,3,2,37
"743",2,2016-09-03,"15:28",4,2,1,"Daylight",2,9,2,3,2,36
"744",2,2016-09-03,"15:50",6,2,1,"Daylight",2,9,1,3,2,26
"745",1,2016-09-03,"22:13",3,2,1,"Daylight",2,9,3,2,1,60
"746",2,2016-09-06,"14:39",3,1,1,"Daylight",1,9,1,3,2,85
"747",2,2016-09-06,"20:40",3,1,4,"Dark",1,9,1,1,1,30
"748",2,2016-09-06,"20:40",3,1,4,"Dark",1,9,2,1,2,26
"749",1,2016-09-07,"11:31",3,1,1,"Daylight",1,11,2,3,2,65
"750",1,2016-09-09,"11:19",6,1,1,"Daylight",1,8,3,3,1,61
"751",1,2016-09-09,"17:00",6,1,1,"Daylight",1,9,3,3,2,55
"752",2,2016-09-10,"20:35",6,1,1,"Daylight",1,9,2,3,1,9
"753",2,2016-09-11,"17:15",3,1,1,"Daylight",1,9,1,2,1,28
"754",2,2016-09-11,"20:07",3,1,4,"Dark",1,9,2,2,1,19
"755",2,2016-09-11,"20:07",3,1,4,"Dark",1,9,1,3,1,35
"756",2,2016-09-13,"11:44",3,1,1,"Daylight",1,5,1,3,1,47
"757",3,2016-09-13,"19:05",6,1,1,"Daylight",1,1,1,3,1,14
"758",2,2016-09-14,"19:10",3,1,1,"Daylight",1,1,1,3,2,52
"759",2,2016-09-15,"08:20",3,1,1,"Daylight",1,1,1,3,1,60
"760",2,2016-09-15,"18:40",3,1,1,"Daylight",1,1,1,3,1,14
"761",2,2016-09-16,"11:08",6,1,1,"Daylight",1,9,1,3,2,52
"762",2,2016-09-16,"11:08",6,1,1,"Daylight",1,9,2,3,2,55
"763",1,2016-09-17,"13:15",6,1,1,"Daylight",1,9,3,3,1,1
"764",3,2016-09-19,"15:14",6,1,1,"Daylight",1,9,1,3,1,26
"765",1,2016-09-19,"16:45",3,1,1,"Daylight",1,1,1,3,1,55
"766",2,2016-09-20,"16:55",3,1,1,"Daylight",1,9,1,3,1,63
"767",1,2016-09-22,"16:13",6,1,1,"Daylight",1,9,3,3,1,11
"768",2,2016-09-23,"11:25",1,1,1,"Daylight",1,9,1,3,2,56
"769",1,2016-09-23,"13:10",3,1,1,"Daylight",1,19,3,3,1,19
"770",2,2016-09-26,"15:29",6,2,1,"Daylight",2,2,1,3,1,16
"771",2,2016-09-28,"08:10",6,1,1,"Daylight",1,9,1,3,2,55
"772",2,2016-09-28,"20:19",3,1,4,"Dark",1,1,1,2,1,37
"773",2,2016-09-29,"22:00",4,1,4,"Dark",1,9,1,1,1,18
"774",2,2016-09-29,"22:00",4,1,4,"Dark",1,9,2,3,1,72
"775",1,2016-10-01,"15:29",6,1,1,"Daylight",1,9,3,3,2,24
"776",2,2016-10-01,"22:55",3,1,4,"Dark",1,9,1,3,2,18
"777",1,2016-10-03,"09:45",6,1,1,"Daylight",1,9,3,3,1,43
"778",2,2016-10-03,"13:30",3,1,1,"Daylight",8,9,2,3,2,11
"779",1,2016-10-03,"13:37",4,1,1,"Daylight",1,9,3,3,2,35
"780",2,2016-10-04,"07:00",6,1,1,"Daylight",1,1,1,3,1,51
"781",1,2016-10-05,"08:45",6,1,1,"Daylight",1,9,3,3,1,13
"782",2,2016-10-05,"15:55",3,1,1,"Daylight",1,9,1,3,1,23
"783",2,2016-10-09,"19:45",6,1,4,"Dark",1,3,1,3,1,23
"784",1,2016-10-06,"08:58",6,1,1,"Daylight",1,10,3,3,1,5
"785",2,2016-10-08,"04:58",1,1,4,"Dark",1,9,1,3,1,28
"786",2,2016-10-08,"11:21",3,1,1,"Daylight",1,9,2,3,2,62
"787",2,2016-10-08,"11:21",3,1,1,"Daylight",1,9,1,3,1,54
"788",2,2016-10-08,"11:21",3,1,1,"Daylight",1,9,2,3,2,48
"789",2,2016-10-08,"11:53",4,2,1,"Daylight",1,19,1,3,1,38
"790",2,2016-10-08,"11:53",4,2,1,"Daylight",1,9,2,3,2,29
"791",2,2016-10-08,"11:53",4,2,1,"Daylight",1,9,2,3,2,25
"792",2,2016-10-15,"16:05",3,1,1,"Daylight",1,9,1,3,1,86
"793",2,2016-10-16,"18:21",3,1,1,"Daylight",1,9,1,3,2,22
"794",2,2016-10-16,"18:21",3,1,1,"Daylight",1,9,2,3,2,24
"795",1,2016-10-18,"13:35",3,2,1,"Daylight",2,9,3,3,1,51
"796",2,2016-10-18,"17:40",1,1,1,"Daylight",1,9,1,3,1,48
"797",2,2016-10-18,"19:05",6,2,4,"Dark",1,9,2,3,2,10
"798",2,2016-10-18,"19:05",6,2,4,"Dark",1,9,2,3,2,32
"799",2,2016-10-19,"19:15",6,1,4,"Dark",1,8,2,3,2,20
"800",2,2016-10-21,"12:16",3,1,1,"Daylight",1,9,1,3,1,72
"801",1,2016-10-22,"09:30",3,1,1,"Daylight",1,9,1,3,2,78
"802",2,2016-10-26,"07:39",3,1,1,"Daylight",1,1,1,2,1,46
"803",1,2016-10-26,"10:12",6,1,1,"Daylight",1,9,1,3,2,79
"804",1,2016-10-26,"11:25",6,2,1,"Daylight",1,9,1,3,2,49
"805",2,2016-10-26,"17:00",3,1,1,"Daylight",1,4,1,3,1,33
"807",4,2016-10-27,"17:35",1,1,1,"Daylight",1,9,1,3,2,20
"808",1,2016-10-26,"21:50",6,1,4,"Dark",1,9,3,3,1,40
"809",1,2016-10-28,"13:00",6,1,1,"Daylight",1,19,3,3,1,25
"810",2,2016-10-31,"17:40",6,1,1,"Daylight",1,11,2,3,1,64
"811",1,2016-10-31,"18:00",3,1,4,"Dark",1,9,3,3,1,27
"812",2,2016-11-02,"22:50",3,2,4,"Dark",1,9,2,3,2,52
"813",2,2016-11-04,"07:26",4,1,1,"Daylight",1,3,1,2,1,21
"814",2,2016-11-04,"10:00",6,1,1,"Daylight",1,9,1,3,2,41
"815",2,2016-11-04,"13:40",1,1,1,"Daylight",1,9,1,3,1,44
"816",1,2016-10-27,"09:00",6,1,1,"Daylight",1,9,3,3,2,74
"817",3,2016-11-09,"05:40",1,3,4,"Dark",3,8,1,3,1,58
"818",2,2016-11-10,"16:10",6,2,1,"Daylight",1,9,3,3,2,36
"819",1,2016-11-10,"18:05",3,2,4,"Dark",1,9,3,3,2,22
"820",2,2016-11-10,"12:45",3,1,1,"Daylight",1,9,2,3,2,82
"821",2,2016-11-10,"14:20",6,1,1,"Daylight",1,9,1,3,2,25
"822",1,2016-11-12,"12:50",1,2,1,"Daylight",1,9,1,3,2,38
"823",2,2016-11-12,"23:30",3,1,4,"Dark",1,9,2,3,1,15
"824",2,2016-11-12,"23:30",3,1,4,"Dark",1,9,1,3,2,19
"825",2,2016-11-14,"17:17",3,2,4,"Dark",1,1,1,3,1,54
"826",2,2016-11-14,"18:58",6,2,4,"Dark",1,9,1,3,1,50
"827",2,2016-11-14,"18:58",6,2,4,"Dark",1,9,1,3,2,22
"828",2,2016-11-16,"12:05",3,2,1,"Daylight",1,1,1,3,1,24
"829",2,2016-11-20,"14:40",1,1,1,"Daylight",1,9,1,3,1,48
"830",2,2016-11-20,"14:40",1,1,1,"Daylight",1,9,2,3,2,49
"831",2,2016-11-20,"14:40",1,1,1,"Daylight",1,9,2,3,2,17
"832",2,2016-11-21,"07:20",6,2,4,"Dark",2,3,1,3,1,26
"833",1,2016-11-21,"18:00",6,2,4,"Dark",5,9,3,3,2,24
"834",2,2016-11-21,"14:54",3,1,7,"Dark",1,9,1,3,2,47
"835",2,2016-11-21,"14:54",3,1,7,"Dark",1,9,2,3,2,16
"836",3,2016-11-24,"11:23",3,1,1,"Daylight",1,9,1,3,2,30
"837",1,2016-11-25,"17:30",3,1,4,"Dark",1,9,3,3,2,33
"838",1,2016-11-26,"17:26",4,1,1,"Daylight",1,9,3,3,1,69
"839",2,2016-11-26,"14:30",3,1,1,"Daylight",1,1,1,3,1,41
"840",3,2016-11-28,"14:00",3,1,1,"Daylight",1,5,1,3,1,61
"841",2,2016-11-23,"17:00",3,1,4,"Dark",1,9,1,3,2,81
"842",1,2016-11-29,"05:39",3,2,4,"Dark",1,21,3,2,2,52
"843",1,2016-11-29,"14:15",3,1,1,"Daylight",1,9,1,3,1,87
"844",1,2016-11-29,"14:15",3,1,1,"Daylight",1,9,2,2,2,87
"845",1,2016-11-28,"15:30",6,1,1,"Daylight",1,90,3,3,1,39
"846",3,2016-11-29,"16:29",3,1,1,"Daylight",1,19,1,3,1,48
"847",3,2016-11-29,"16:29",3,1,1,"Daylight",1,19,1,3,1,40
"848",1,2016-11-30,"11:28",3,1,1,"Daylight",1,9,3,2,2,82
"849",2,2016-11-30,"13:12",3,2,1,"Daylight",1,19,1,3,1,66
"850",3,2016-11-30,"16:25",1,2,4,"Dark",1,9,1,3,1,45
"851",2,2016-12-01,"16:50",6,1,4,"Dark",1,1,1,3,1,36
"852",2,2016-12-01,"16:30",4,2,4,"Dark",1,9,2,2,1,29
"853",2,2016-12-01,"16:30",4,2,4,"Dark",1,9,1,2,1,39
"854",2,2016-12-01,"16:30",4,2,4,"Dark",1,9,1,2,1,29
"855",1,2016-12-02,"09:04",6,1,1,"Daylight",1,9,3,3,2,72
"856",2,2016-12-02,"15:11",3,1,1,"Daylight",1,9,1,3,1,43
"857",1,2016-12-03,"08:36",4,2,1,"Daylight",1,8,1,3,1,38
"858",2,2016-12-04,"11:34",3,2,1,"Daylight",1,9,2,3,2,33
"859",1,2016-12-04,"13:30",6,1,1,"Daylight",1,9,1,1,1,80
"860",1,2016-12-06,"11:15",6,1,1,"Daylight",1,9,3,3,2,82
"861",2,2016-12-07,"18:00",6,1,4,"Dark",1,9,1,3,2,38
"862",2,2016-12-08,"18:15",6,1,4,"Dark",1,1,1,3,1,29
"863",2,2016-12-08,"16:15",1,2,4,"Dark",7,9,2,2,1,36
"864",1,2016-12-08,"18:29",6,1,4,"Dark",1,9,3,3,1,21
"865",2,2016-12-08,"20:58",6,1,4,"Dark",1,9,1,3,2,35
"866",2,2016-12-08,"20:58",6,1,4,"Dark",1,9,2,3,2,49
"867",2,2016-12-08,"20:58",6,1,4,"Dark",1,9,2,3,2,7
"868",2,2016-12-08,"20:58",6,1,4,"Dark",1,9,2,3,1,18
"869",1,2016-12-09,"20:45",3,2,4,"Dark",1,9,1,3,1,43
"870",2,2016-12-11,"21:15",6,2,4,"Dark",1,9,1,3,2,51
"871",2,2016-12-11,"21:15",6,2,4,"Dark",1,9,2,3,2,45
"872",1,2016-12-12,"13:18",6,1,1,"Daylight",1,9,3,2,2,72
"873",3,2016-12-14,"20:39",3,1,4,"Dark",1,9,1,1,1,29
"874",3,2016-12-15,"16:09",1,1,4,"Dark",1,9,1,3,1,53
"875",2,2016-12-14,"18:00",6,1,4,"Dark",1,9,2,3,2,59
"876",2,2016-12-16,"17:30",3,1,4,"Dark",1,5,1,3,1,50
"877",1,2016-12-16,"22:38",6,1,4,"Dark",1,9,3,3,1,15
"878",2,2016-12-18,"04:05",3,1,4,"Dark",1,8,1,3,1,32
"879",2,2016-12-18,"17:00",3,1,4,"Dark",1,5,1,3,1,33
"880",1,2016-12-19,"10:00",1,1,1,"Daylight",1,9,1,3,2,34
"881",2,2016-12-19,"16:43",3,2,4,"Dark",1,3,1,3,1,17
"882",2,2016-12-19,"17:10",3,2,4,"Dark",1,3,1,3,1,17
"883",1,2016-12-22,"15:55",3,1,1,"Daylight",1,8,3,3,1,82
"884",2,2016-12-23,"18:00",6,2,4,"Dark",5,9,1,3,1,22
"885",1,2016-12-23,"20:50",3,2,4,"Dark",2,8,3,2,1,26
"886",2,2016-12-24,"13:25",6,2,1,"Daylight",2,9,1,3,2,43
"887",2,2016-12-24,"13:25",6,2,1,"Daylight",2,9,2,3,1,15
"888",2,2016-12-26,"23:04",6,1,4,"Dark",1,8,2,2,2,26
"889",2,2016-12-26,"23:04",6,1,4,"Dark",1,8,1,2,1,66
"890",4,2016-12-31,"23:46",6,2,4,"Dark",2,9,1,3,1,27
"891",3,2015-01-04,"12:00",3,2,1,"Daylight",1,1,1,3,1,18
"892",3,2015-01-04,"12:00",3,2,1,"Daylight",1,1,1,3,1,19
"893",1,2015-01-06,"11:30",6,2,1,"Daylight",2,8,2,3,1,2
"894",1,2015-01-07,"08:48",6,2,1,"Daylight",1,21,1,2,1,64
"895",2,2015-01-07,"08:26",6,2,1,"Daylight",1,9,1,3,1,29
"896",2,2015-01-09,"23:35",3,4,1,"Daylight",1,9,1,2,1,64
"897",2,2015-01-10,"23:30",3,2,4,"Dark",5,9,1,3,1,44
"898",2,2015-01-11,"11:10",6,4,4,"Dark",6,9,2,3,2,44
"899",2,2015-01-11,"11:10",6,4,4,"Dark",6,9,2,3,2,22
"900",2,2015-01-11,"11:10",6,4,4,"Dark",6,9,2,3,1,8
"901",2,2015-01-11,"11:10",6,4,4,"Dark",6,9,2,3,2,20
"902",2,2015-01-11,"14:30",6,2,1,"Daylight",1,9,1,3,1,18
"903",2,2015-01-12,"11:18",1,2,1,"Daylight",5,9,1,3,1,30
"904",2,2015-01-12,"11:18",1,2,1,"Daylight",5,9,1,3,2,32
"905",2,2015-01-14,"15:57",6,2,1,"Daylight",1,9,2,3,2,83
"906",2,2015-01-14,"15:57",6,2,1,"Daylight",1,8,1,3,1,42
"907",2,2015-01-14,"15:57",6,2,1,"Daylight",1,8,2,3,2,20
"908",2,2015-01-14,"15:57",6,2,1,"Daylight",1,9,1,2,1,82
"909",1,2015-01-15,"16:15",6,1,1,"Daylight",1,9,3,2,2,13
"910",1,2015-01-15,"15:15",6,2,1,"Daylight",2,9,3,3,1,66
"911",2,2015-01-17,"06:10",3,2,4,"Dark",1,9,1,3,2,44
"912",2,2015-01-17,"06:10",3,2,4,"Dark",1,9,1,3,1,38
"913",3,2015-01-20,"08:30",1,2,1,"Daylight",8,9,1,3,1,29
"914",3,2015-01-20,"08:30",1,2,1,"Daylight",8,9,1,3,2,29
"915",2,2015-01-21,"13:28",6,3,1,"Daylight",3,9,1,3,2,26
"916",2,2015-01-23,"18:25",6,2,4,"Dark",5,9,1,2,2,34
"917",2,2015-01-23,"18:25",6,2,4,"Dark",5,9,1,3,2,27
"919",3,2015-01-26,"11:12",6,1,1,"Daylight",1,9,1,3,2,45
"920",1,2015-01-26,"15:00",3,1,1,"Daylight",1,9,3,3,1,57
"921",1,2015-01-27,"16:37",4,1,4,"Dark",1,9,1,3,1,18
"922",1,2015-01-27,"16:37",4,1,4,"Dark",1,9,2,3,1,17
"923",1,2015-01-27,"16:37",4,1,4,"Dark",1,9,2,3,1,16
"924",1,2015-01-27,"16:37",4,1,4,"Dark",1,9,2,3,1,17
"925",1,2015-01-28,"16:04",4,2,1,"Daylight",4,9,3,3,2,13
"926",1,2015-01-28,"16:04",4,2,1,"Daylight",4,9,3,3,2,37
"927",1,2015-01-28,"17:35",6,2,4,"Dark",5,9,3,3,1,16
"928",2,2015-01-30,"10:00",4,2,1,"Daylight",1,1,1,2,1,50
"929",2,2015-01-31,"09:55",3,1,1,"Daylight",1,9,1,3,1,45
"930",2,2015-01-31,"09:55",3,1,1,"Daylight",1,9,1,3,2,64
"931",1,2015-01-31,"11:45",6,3,1,"Daylight",1,9,3,3,1,79
"932",2,2015-02-04,"13:10",3,1,1,"Daylight",1,1,1,3,1,23
"933",1,2015-02-05,"15:25",3,1,1,"Daylight",1,9,1,3,2,68
"934",1,2015-02-06,"12:15",6,1,1,"Daylight",1,20,3,3,2,69
"935",3,2015-02-06,"22:57",3,1,1,"Daylight",1,9,1,3,1,48
"936",1,2015-02-08,"01:30",4,2,4,"Dark",1,9,1,3,1,40
"937",3,2015-02-08,"10:34",3,1,1,"Daylight",1,9,2,3,2,7
"938",3,2015-02-08,"10:34",3,1,1,"Daylight",1,9,2,3,1,3
"939",3,2015-02-08,"10:34",3,1,1,"Daylight",1,9,2,3,2,36
"940",3,2015-02-08,"10:34",3,1,1,"Daylight",1,9,1,3,1,42
"941",2,2015-02-08,"10:50",3,1,1,"Daylight",1,9,1,3,1,47
"942",1,2015-02-09,"10:05",6,1,1,"Daylight",1,9,3,3,1,85
"943",3,2015-02-09,"11:41",3,1,1,"Daylight",1,9,1,2,2,66
"944",3,2015-02-09,"11:41",3,1,1,"Daylight",1,9,2,3,1,67
"945",2,2015-02-11,"14:28",6,1,1,"Daylight",1,9,1,3,1,33
"946",1,2015-02-13,"11:09",1,2,1,"Daylight",1,21,1,3,1,28
"947",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,2,1,2,44
"948",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,1,2,1,34
"949",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,1,3,1,46
"950",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,2,3,2,52
"951",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,2,3,2,14
"952",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,2,3,2,14
"953",4,2015-02-14,"20:30",3,2,4,"Dark",1,9,2,3,1,15
"954",2,2015-02-16,"10:30",3,1,1,"Daylight",1,9,1,3,1,68
"955",2,2015-02-16,"12:39",3,1,1,"Daylight",1,9,1,3,2,34
"956",2,2015-02-16,"19:15",1,1,4,"Dark",1,9,1,3,2,47
"957",2,2015-02-17,"15:55",3,1,1,"Daylight",1,3,1,3,1,29
"958",1,2015-02-18,"15:05",6,1,1,"Daylight",1,9,3,3,2,76
"959",2,2015-02-18,"18:20",6,1,4,"Dark",1,9,1,3,2,39
"960",1,2015-02-21,"13:35",6,1,1,"Daylight",1,9,3,2,2,76
"961",2,2015-02-25,"08:15",6,1,1,"Daylight",1,9,1,3,2,36
"962",2,2015-02-27,"08:40",3,1,1,"Daylight",1,9,1,3,1,45
"963",2,2015-02-27,"08:40",3,1,1,"Daylight",1,9,1,3,2,45
"964",2,2015-02-27,"15:15",6,1,1,"Daylight",1,9,1,3,1,48
"965",3,2015-02-27,"21:20",3,1,7,"Dark",1,9,1,3,2,45
"966",1,2015-02-28,"16:54",3,2,1,"Daylight",2,9,1,3,1,22
"967",1,2015-02-28,"16:54",3,2,1,"Daylight",2,9,2,3,2,14
"968",3,2015-03-02,"07:40",6,4,1,"Daylight",6,9,3,3,2,42
"969",2,2015-02-27,"17:00",4,1,1,"Daylight",1,9,1,3,2,58
"970",2,2015-03-05,"07:25",3,1,1,"Daylight",1,1,1,3,1,27
"971",3,2015-03-06,"15:26",6,1,1,"Daylight",1,9,2,3,2,5
"972",1,2015-03-07,"15:00",3,1,1,"Daylight",1,9,3,2,2,61
"973",1,2015-03-07,"17:41",6,1,4,"Dark",1,9,3,3,1,9
"974",2,2015-03-07,"21:53",3,1,4,"Dark",1,9,2,2,2,25
"975",2,2015-03-08,"16:10",6,1,1,"Daylight",1,9,1,3,2,57
"976",1,2015-03-09,"09:40",6,1,1,"Daylight",1,9,3,3,2,70
"977",2,2015-03-10,"07:13",3,1,1,"Daylight",1,3,1,3,1,42
"978",3,2015-03-10,"11:54",3,1,1,"Daylight",1,9,1,2,1,82
"979",1,2015-03-10,"13:50",6,1,1,"Daylight",1,9,3,3,1,20
"980",1,2015-03-02,"15:15",4,2,1,"Daylight",1,9,3,3,2,29
"981",2,2015-03-11,"12:45",3,2,1,"Daylight",2,9,1,3,2,51
"982",3,2015-03-13,"08:45",1,2,1,"Daylight",1,9,1,3,2,23
"983",2,2015-03-13,"08:55",3,2,1,"Daylight",2,9,2,3,2,10
"984",2,2015-03-13,"16:45",3,1,1,"Daylight",1,9,2,3,1,10
"985",1,2015-03-15,"11:15",3,1,1,"Daylight",1,1,1,3,1,49
"986",2,2015-03-15,"12:51",6,1,1,"Daylight",1,9,1,3,2,32
"987",2,2015-03-15,"12:51",6,1,1,"Daylight",1,9,2,3,1,4
"988",2,2015-03-15,"21:00",3,2,4,"Dark",2,9,3,1,1,48
"989",2,2015-03-16,"10:30",1,1,1,"Daylight",1,9,1,3,2,34
"990",1,2015-03-18,"19:10",6,1,4,"Dark",1,9,3,3,2,18
"991",2,2015-03-20,"08:57",6,1,1,"Daylight",1,4,1,2,1,22
"992",2,2015-03-20,"08:57",6,1,1,"Daylight",1,9,1,3,2,36
"993",2,2015-03-20,"11:40",6,1,1,"Daylight",1,9,1,2,1,71
"994",1,2015-03-21,"17:54",3,1,1,"Daylight",1,9,3,3,1,32
"995",2,2015-03-23,"13:43",3,1,1,"Daylight",1,4,1,2,1,55
"996",2,2015-03-23,"15:45",3,1,1,"Daylight",1,4,1,3,1,61
"997",1,2015-03-23,"16:58",2,1,1,"Daylight",1,9,3,3,2,12
"998",2,2015-03-24,"08:15",6,1,1,"Daylight",1,1,1,3,1,17
"999",1,2015-03-24,"08:35",3,1,1,"Daylight",1,9,3,3,1,84
"1000",2,2015-03-25,"16:20",3,1,1,"Daylight",1,1,1,3,1,49
"1001",2,2015-03-27,"16:15",6,1,1,"Daylight",1,9,1,3,1,24
"1002",3,2015-03-28,"13:52",3,2,1,"Daylight",1,9,1,3,1,40
"1003",3,2015-03-28,"13:52",3,2,1,"Daylight",1,9,1,3,1,40
"1004",1,2015-03-28,"19:00",3,2,4,"Dark",2,9,3,2,1,46
"1005",1,2015-03-29,"10:05",6,2,1,"Daylight",2,1,1,2,1,66
"1006",1,2015-03-29,"21:30",6,1,4,"Dark",1,9,3,3,2,23
"1007",1,2015-03-30,"19:55",6,2,6,"",5,9,1,3,1,65
"1008",1,2015-03-31,"00:10",1,5,4,"Dark",5,9,2,3,2,54
"1009",1,2015-03-31,"17:20",3,2,1,"Daylight",2,8,3,3,2,37
"1010",2,2015-04-01,"08:10",3,2,1,"Daylight",2,5,1,3,1,45
"1011",2,2015-04-01,"12:40",6,2,1,"Daylight",1,9,2,3,2,29
"1012",2,2015-04-01,"12:40",6,2,1,"Daylight",1,9,1,3,2,67
"1013",2,2015-04-01,"14:43",3,2,1,"Daylight",2,9,1,3,2,84
"1014",1,2015-04-02,"12:34",3,1,1,"Daylight",1,9,2,3,1,24
"1015",1,2015-04-03,"21:00",3,1,4,"Dark",1,9,3,2,1,48
"1016",1,2015-04-04,"14:25",6,1,1,"Daylight",1,9,3,2,1,3
"1017",2,2015-04-04,"18:13",6,1,1,"Daylight",1,90,1,2,1,32
"1018",2,2015-04-04,"22:15",3,1,4,"Dark",1,3,1,2,1,25
"1019",1,2015-04-05,"13:15",6,1,1,"Daylight",1,9,3,3,1,30
"1020",2,2015-04-07,"16:19",4,1,1,"Daylight",1,1,1,2,2,19
"1021",2,2015-04-08,"14:30",3,1,1,"Daylight",1,1,1,3,2,9
"1022",2,2015-04-09,"12:48",6,1,1,"Daylight",1,9,1,3,2,35
"1023",2,2015-04-09,"12:48",6,1,1,"Daylight",1,9,2,3,1,27
"1024",1,2015-04-09,"14:31",6,1,1,"Daylight",1,9,3,2,1,8
"1025",1,2015-04-10,"02:55",3,1,4,"Dark",1,9,1,3,2,25
"1026",1,2015-04-10,"02:55",3,1,4,"Dark",1,9,2,3,1,23
"1027",1,2015-04-10,"02:55",3,1,4,"Dark",1,9,2,3,1,23
"1028",1,2015-04-10,"02:55",3,1,4,"Dark",1,9,2,3,2,24
"1029",2,2015-04-13,"07:25",3,1,1,"Daylight",1,3,1,3,1,18
"1030",2,2015-04-13,"15:10",4,1,1,"Daylight",1,1,1,3,1,51
"1031",2,2015-04-14,"16:17",3,1,1,"Daylight",1,9,1,3,1,32
"1032",2,2015-04-13,"17:30",6,1,1,"Daylight",1,90,1,3,1,10
