"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"178",2,2017-07-20,"08:43",6,1,1,"Daylight",1,9,1,3,2,38
"179",2,2017-07-20,"08:59",4,1,1,"Daylight",1,9,1,3,2,29
"180",2,2017-07-21,"17:58",1,1,7,"Dark",1,9,1,3,2,26
"182",1,2017-07-29,"00:40",6,2,4,"Dark",1,8,1,3,1,49
"183",2,2017-07-30,"08:22",6,2,1,"Daylight",2,9,1,3,2,51
"184",2,2017-07-30,"19:33",6,1,7,"Dark",1,19,1,3,1,7
"185",2,2017-08-01,"10:20",6,1,1,"Daylight",1,19,1,3,1,47
"186",1,2017-08-05,"15:50",3,1,1,"Daylight",1,5,1,2,2,44
"187",2,2017-08-06,"15:30",3,1,1,"Daylight",1,9,2,3,1,72
"188",1,2017-08-06,"16:10",3,2,1,"Daylight",2,9,1,3,2,31
"189",1,2017-08-06,"15:30",3,1,1,"Daylight",1,9,3,3,2,49
"190",2,2017-08-06,"22:06",6,2,4,"Dark",2,9,1,3,1,37
"191",2,2017-08-08,"18:14",6,2,7,"Dark",1,9,1,3,1,51
"192",2,2017-08-09,"07:35",6,1,1,"Daylight",1,1,1,3,1,37
"193",1,2017-08-09,"11:10",3,1,1,"Daylight",1,8,3,3,2,80
"194",2,2017-08-04,"14:30",6,1,1,"Daylight",1,8,1,3,1,50
"195",2,2017-08-09,"16:55",3,1,1,"Daylight",1,11,1,2,1,49
"196",3,2017-08-11,"08:05",3,1,1,"Daylight",1,9,1,3,2,47
"197",2,2017-08-03,"20:43",6,1,4,"Dark",1,9,1,2,1,62
"198",2,2017-08-13,"20:50",3,1,4,"Dark",1,8,1,3,1,34
"199",2,2017-08-13,"21:46",3,1,7,"Dark",1,3,1,3,1,17
"200",2,2017-08-17,"12:15",3,1,1,"Daylight",1,9,1,3,1,34
"201",2,2017-08-18,"21:00",6,1,6,"",4,9,1,3,1,49
"202",1,2017-08-23,"15:18",6,1,1,"Daylight",1,9,3,3,2,8
"203",1,2017-08-27,"06:09",3,1,7,"Dark",1,9,1,2,1,60
"204",1,2017-08-27,"09:22",6,1,1,"Daylight",1,9,3,3,1,39
"205",2,2017-10-07,"14:33",3,1,1,"Daylight",1,9,1,3,1,55
"206",1,2017-08-27,"15:05",3,1,1,"Daylight",1,9,3,2,1,24
"207",1,2017-08-27,"16:57",3,1,1,"Daylight",1,9,3,2,1,27
"208",2,2017-08-28,"09:29",3,1,1,"Daylight",1,9,1,3,2,46
"209",5,2017-08-30,"17:06",3,1,7,"Dark",1,9,1,3,1,46
"210",2,2017-08-30,"17:21",3,1,7,"Dark",1,5,1,2,1,52
"211",2,2017-08-01,"16:15",6,1,1,"Daylight",1,3,1,3,1,20
"212",4,2017-09-01,"10:58",1,1,1,"Daylight",1,9,1,3,2,52
"213",2,2017-09-01,"14:55",3,1,1,"Daylight",1,5,1,3,1,62
"214",1,2017-09-01,"21:28",6,1,4,"Dark",1,9,2,3,1,10
"215",1,2017-09-01,"21:36",3,1,7,"Dark",1,4,1,3,1,20
"216",2,2017-09-02,"19:57",6,1,4,"Dark",1,9,1,3,2,24
"217",3,2017-09-04,"12:40",6,1,1,"Daylight",1,11,1,3,2,44
"218",2,2017-09-04,"14:55",1,1,1,"Daylight",1,9,1,3,2,46
"219",1,2017-09-04,"16:30",3,2,1,"Daylight",1,3,1,2,2,56
"220",2,2017-09-05,"06:45",6,2,7,"Dark",2,9,1,3,1,41
"221",3,2017-09-06,"22:09",6,2,7,"Dark",1,9,1,3,1,45
"222",3,2017-09-07,"07:27",6,1,7,"Dark",1,9,1,3,2,61
"223",1,2017-09-08,"07:34",1,2,1,"Daylight",2,9,1,3,2,23
"224",2,2017-09-08,"07:43",6,2,1,"Daylight",2,9,1,3,1,30
"225",2,2017-09-13,"08:28",6,1,1,"Daylight",1,9,1,3,2,53
"226",1,2017-09-08,"17:55",6,1,7,"Dark",1,9,3,3,2,9
"227",2,2017-09-08,"21:30",1,2,4,"Dark",2,9,1,3,1,54
"228",1,2017-09-09,"15:22",6,1,1,"Daylight",1,9,3,3,1,58
"229",2,2017-09-09,"17:43",3,2,7,"Dark",2,9,1,3,2,61
"230",3,2017-09-10,"16:08",6,2,1,"Daylight",2,1,1,3,1,22
"231",3,2017-09-11,"05:38",1,2,4,"Dark",2,9,1,3,1,31
"232",4,2017-09-11,"13:30",1,2,1,"Daylight",2,9,2,3,2,64
"233",2,2017-09-11,"18:38",3,1,7,"Dark",1,9,1,2,1,31
"234",2,2017-09-13,"19:35",3,2,4,"Dark",1,9,1,3,1,21
"235",3,2017-09-15,"12:14",1,1,1,"Daylight",1,9,2,3,2,82
"236",2,2017-09-16,"12:05",6,1,1,"Daylight",1,1,1,3,1,9
"237",2,2017-09-16,"15:55",6,1,1,"Daylight",1,4,1,3,1,36
"238",2,2017-09-17,"10:25",6,2,1,"Daylight",1,9,1,2,1,24
"239",2,2017-09-20,"16:27",4,1,1,"Daylight",1,9,1,2,1,16
"240",2,2017-09-21,"16:25",6,1,1,"Daylight",1,9,1,3,1,12
"241",1,2017-09-22,"16:17",3,2,1,"Daylight",2,3,1,3,1,25
"242",1,2017-09-22,"07:25",6,1,7,"Dark",1,9,3,3,2,13
"243",2,2017-09-27,"19:43",6,2,4,"Dark",2,9,1,2,1,23
"244",3,2017-09-28,"12:05",3,1,1,"Daylight",1,9,2,3,1,86
"245",2,2017-09-28,"21:29",6,1,4,"Dark",1,9,1,3,1,36
"246",1,2017-09-26,"07:50",3,1,1,"Daylight",1,11,3,3,1,63
"247",2,2017-09-16,"13:00",4,1,1,"Daylight",1,1,1,3,1,60
"248",1,2017-09-29,"18:43",6,1,7,"Dark",1,3,1,2,1,17
"249",1,2017-10-01,"17:15",6,2,7,"Dark",1,9,3,2,1,8
"251",2,2017-10-03,"12:50",3,1,1,"Daylight",1,9,1,2,1,22
"252",1,2017-10-04,"07:53",3,2,1,"Daylight",5,9,3,3,1,16
"253",1,2017-10-05,"16:00",3,1,1,"Daylight",1,5,1,3,1,47
"254",2,2017-10-05,"17:00",6,2,7,"Dark",1,9,1,3,1,17
"255",2,2017-10-06,"06:20",3,1,7,"Dark",1,9,1,3,1,49
"256",2,2017-10-08,"12:20",3,1,1,"Daylight",1,9,1,3,1,38
"257",1,2017-10-06,"14:18",3,1,1,"Daylight",1,9,1,3,2,90
"258",4,2017-10-07,"21:22",3,2,4,"Dark",1,9,1,3,1,31
"259",2,2017-10-09,"16:40",6,1,1,"Daylight",1,5,1,1,1,42
"260",3,2017-10-09,"17:30",1,1,7,"Dark",1,21,1,3,2,32
"261",2,2017-10-10,"07:02",6,1,7,"Dark",1,1,1,2,1,41
"262",2,2017-10-10,"17:45",3,1,7,"Dark",1,9,1,3,2,25
"263",2,2017-10-11,"01:43",2,2,4,"Dark",1,9,1,3,2,64
"264",1,2017-10-11,"11:30",6,1,1,"Daylight",1,19,3,3,1,56
"265",1,2017-10-12,"06:11",3,1,7,"Dark",1,9,1,3,1,32
"266",2,2017-10-14,"00:12",6,1,4,"Dark",1,9,1,3,1,27
"267",2,2017-10-15,"19:35",3,1,4,"Dark",1,9,1,3,2,62
"268",2,2017-10-16,"10:11",1,1,1,"Daylight",1,9,1,3,2,43
"269",1,2017-10-17,"16:07",6,1,1,"Daylight",1,9,3,3,1,87
"271",1,2017-10-19,"08:40",3,1,1,"Daylight",1,9,1,3,2,33
"272",2,2017-10-14,"11:30",6,1,1,"Daylight",1,9,2,3,1,29
"273",2,2017-10-21,"00:55",3,1,4,"Dark",1,8,2,3,1,27
"274",4,2017-10-22,"15:31",6,1,1,"Daylight",1,9,2,3,2,56
"275",2,2017-10-25,"14:50",3,1,1,"Daylight",1,9,1,3,2,24
"276",1,2017-10-27,"16:30",3,1,1,"Daylight",1,19,3,2,2,15
"277",2,2017-10-28,"13:13",3,1,1,"Daylight",1,9,2,3,2,30
"278",2,2017-10-29,"12:20",6,1,1,"Daylight",1,9,1,3,2,41
"279",2,2017-10-31,"12:02",6,1,1,"Daylight",1,9,1,3,1,33
"280",1,2017-10-31,"17:20",6,1,4,"Dark",1,9,3,3,1,25
"281",2,2017-10-31,"18:51",6,1,4,"Dark",1,9,1,3,1,34
"282",3,2017-11-01,"07:44",4,1,1,"Daylight",1,9,1,3,1,28
"283",1,2017-11-04,"23:31",6,1,4,"Dark",1,9,3,3,1,42
"284",3,2017-11-05,"10:20",3,1,1,"Daylight",1,19,2,3,1,5
"285",2,2017-11-05,"22:59",6,2,4,"Dark",1,9,1,3,2,23
"286",1,2017-11-06,"15:00",6,1,1,"Daylight",1,9,3,3,2,30
"287",2,2017-11-06,"17:09",6,1,4,"Dark",1,9,1,2,1,19
"288",2,2017-11-06,"17:13",1,1,4,"Dark",1,21,1,3,1,64
"289",1,2017-11-07,"11:50",6,1,1,"Daylight",1,9,3,3,1,27
"290",1,2017-11-07,"16:15",3,1,1,"Daylight",1,19,3,3,1,17
"291",2,2017-11-08,"16:51",6,2,6,"",1,9,1,3,1,40
"292",4,2017-11-08,"17:43",6,1,7,"Dark",1,9,1,3,2,25
"293",1,2017-11-08,"21:00",6,2,4,"Dark",1,9,2,3,1,25
"294",1,2017-11-09,"17:30",6,2,4,"Dark",1,1,1,3,1,27
"295",1,2017-11-11,"18:58",1,1,4,"Dark",1,9,1,2,2,26
"296",2,2017-11-13,"16:44",6,1,4,"Dark",1,9,1,3,2,56
"297",2,2017-11-14,"14:20",3,1,1,"Daylight",1,9,1,3,2,61
